,premise,hypothesis,label,reviwers_output,confuse_sentence,low_quality
58,"Duas almofadas estão presentes, uma branca e a outra com uma estampa de onça pintada",Há uma almofada com estampa de onça pintada.,1,Entailment,OK,N
59,O homem com um casaco azul está usando luvas de inverno,O homem com um casaco azul está segurando um guarda-chuva vermelho,2,Neutral,OK,N
60,"Quatro indivíduos estão em um pico nevado, usando uma luneta para observar a paisagem",Há pessoas no topo de uma montanha coberta de neve.,1,Entailment,OK,N
61,O homem está se preparando para uma entrevista de emprego,O homem está se preparando para ir à praia,0,Contradiction,OK,N
62,Uma mulher está segurando uma taça de espumante diante de um campo de lavanda,Uma mulher está comemorando um brinde em um campo de lavanda.,2,Neutral,OK,N
63,"Um grupo nordestino está tocando instrumentos tradicionais, incluindo sanfona, pandeiro, zabumba e triângulo",O grupo nordestino está usando roupas típicas do Nordeste enquanto toca,2,Neutral,OK,N
64,Um imenso gato preto não está pulando sobre os muros no quintal,Não há um gato preto grande pulando sobre os muros do quintal,1,Entailment,OK,N
65,A mulher está usando uma mangueira para regar o jardim.,O cão da mulher está se deitando à sombra.,2,Neutral,OK,N
66,Os adolescentes estão exibindo suas pranchas de skate no asfalto cinzento de um parque urbano,Os adolescentes estão vestindo tênis vermelhos.,2,Neutral,OK,N
67,"Uma mulher está de pé, solidamente, ao lado da janela",A mulher está de pé perto da janela,1,Entailment,OK,N
68,O funcionário confere a carga recebida com a lista de produtos solicitados,O funcionário está verificando se todos os produtos solicitados foram entregues,1,Entailment,OK,N
69,A estampa azul é o detalhe principal do jogo de lençol,A estampa vermelha é a característica principal do jogo de lençol,0,Contradiction,OK,N
70,Pernas femininas vestidas em meia arrastão e de salto alto aparecem numa foto promocional de sapatos,Os sapatos promovidos são para mulheres.,1,Entailment,OK,N
71,Uma pesquisa indica que dormir menos pode tornar as pessoas menos atraentes,As pessoas que dormem mais se sentem mais descansadas.,2,Neutral,OK,N
72,O gato está correndo na floresta,Há um gato se movimentando rapidamente na floresta,1,Entailment,OK,N
73,"Crianças são observadas durante atividades e brincadeiras envolvendo números, quantidades e pesos",As crianças estão aprendendo sobre ciências.,2,Neutral,OK,N
74,Uma mulher negra está enrolada na bandeira LGBTQ e girando,Uma mulher negra está sentada imóvel sem qualquer bandeira.,0,Contradiction,OK,N
75,Três amigos estão desfrutando de lanches coloridos,Três amigos estão em jejum,0,Contradiction,OK,N
76,Um cartaz está divulgando um evento com várias informações relevantes,O cartaz contém detalhes sobre um evento.,1,Entailment,OK,N
77,A galinha está cantando blues,A galinha gosta de jazz.,2,Disagreement,OK,S
78,Uma mulher está equipando uma criança com um capacete de segurança,A mulher está ensinando a criança a andar de bicicleta,2,Neutral,OK,N
79,Uma pessoa está escrevendo em um computador,A pessoa está escrevendo em um bloco de notas.,0,Contradiction,OK,N
80,A rainha fala ao súdito que a oração aproxima o homem do divino,A rainha está se comunicando com seu súdito sobre espiritualidade,1,Entailment,OK,N
81,"A mulher, vestida em seu uniforme, está no carro a caminho de uma batalha","A mulher, vestida em seu uniforme, está ouvindo música no carro.",2,Neutral,OK,N
82,Uma mulher está sorrindo enquanto segura uma criança sorridente no colo,A mulher está triste.,0,Contradiction,OK,N
83,Os indivíduos estão correndo apressadamente na calçada em frente a uma livraria,Pessoas estão se movimentando rapidamente perto de uma loja de livros,1,Entailment,OK,N
84,"Um homem moreno está vestido com uma camiseta preta, bermuda de moletom cinza e tênis preto",O homem está vestindo um terno formal.,0,Contradiction,OK,N
85,Um bolo de brownie está coberto com brigadeiro e chocolate branco com três cerejas no topo,"O bolo tem cobertura de brigadeiro, chocolate branco e três cerejas.",1,Entailment,OK,N
86,Um casal está sorrindo juntos em uma estação de esqui,Há um casal feliz em uma estação de esqui.,1,Entailment,OK,N
87,A escada está sendo vista através de um globo de vidro,A escada está sendo vista sem obstáculos.,0,Contradiction,OK,N
88,Criptas estão situadas à esquerda na esquina de uma rua arborizada dentro de um cemitério,"Existem criptas localizadas em uma rua arborizada de um cemitério, à esquerda da esquina.",1,Entailment,OK,N
89,"Ela possui um sapato preto de plástico, estilo boneca",Ela tem um vestido azul para combinar com o sapato.,2,Neutral,OK,N
90,Garotos estão jogando futebol,Há um jogo de futebol acontecendo,1,Entailment,OK,N
91,O post mostra ondas de diferentes tons de azul e alcançou milhares de curtidas nas redes sociais,O post com ondas azuis não foi curtido nas redes sociais.,0,Contradiction,OK,N
92,Um prato está sendo coberto com molho por um chef,Um chef está cobrindo um prato com molho,1,Entailment,OK,N
93,"Um pompom de lã vermelho equipado com um elástico, é projetado para ser preso no pelo dos animais de estimação",O pompom de lã vermelho é projetado para ser usado por pessoas,0,Contradiction,OK,N
94,Os vereadores membros da Comissão se reuniram no plenário com representantes de vários segmentos de pessoas com deficiência,Os membros da Comissão não se encontraram com ninguém.,0,Contradiction,OK,N
95,O homem desenha no chão um anjo com giz,O chão está sendo usado como tela para um desenho de anjo,1,Entailment,OK,N
96,Os folders estão fornecendo ilustrações e orientações para conscientizar a população durante a pandemia do novo coronavírus,Não há orientações sendo fornecidas à população durante a pandemia do novo coronavírus,0,Contradiction,OK,N
97,Uma pessoa segurando um crepe está vestindo uma camisa rosa,A pessoa segurando um crepe está em um parque.,2,Neutral,OK,N
98,O evento é detalhado em uma arte gráfica azul,O evento acontecerá em uma tarde de sábado.,2,Neutral,OK,N
99,Sete pessoas estão sentadas em uma sala de reunião,Há duas mesas na sala de reunião,2,Neutral,OK,N
100,O senhor está cometendo erros ao dirigir.,O senhor não está dirigindo corretamente.,1,Entailment,OK,N
101,"Um gato se encontra em um campo repleto de grama, com o vento soprando as folhas em movimento e diversas árvores se destacando ao longe",O gato está em um local ao ar livre com várias árvores,1,Entailment,OK,N
102,A professora está ensinando matemática na sala de aula,A professora não está ensinando nada na sala de aula,0,Contradiction,OK,N
103,"A pessoa está deitada na cama, segurando uma taça e pensativa com a mão no queixo",Alguém está refletindo enquanto bebe na cama.,1,Entailment,OK,N
104,A menina veste um short que tem aplicações de correntinhas,A menina está vestindo um vestido longo,0,Contradiction,OK,N
105,Comida está sendo consumida por um corredor descansando na pista,O corredor descansando na pista não está comendo nada,0,Contradiction,OK,N
106,Indivíduos que cultivam o hábito de leitura são considerados mais atraentes,Pessoas que leem regularmente são vistas como mais atraentes.,1,Entailment,OK,N
107,Um estudo confirmou que a cerveja é mais eficaz no alívio das dores do que o paracetamol,O paracetamol é mais eficaz para aliviar a dor do que a cerveja.,0,Contradiction,OK,N
108,"Alunos, fotógrafos e a equipe do projeto se reúnem para o primeiro módulo do curso",O curso é sobre bioquímica.,2,Neutral,OK,N
109,Uma pequena garota está correndo e brincando próximo a um muro de pedras com flores,Uma criança está se divertindo perto de um muro florido,1,Entailment,OK,N
110,Uma queimada está ocorrendo em uma floresta durante a noite,Há uma coruja na floresta.,2,Neutral,OK,N
111,Um cão preto e branco está correndo no parque,Um cão está brincando com uma bola no parque.,2,Neutral,OK,N
112,Um show está ocorrendo com uma multidão de pessoas e grandes bolas infláveis,Muitas pessoas estão assistindo um show com bolas infláveis,1,Entailment,OK,N
113,A turma de acessibilidade tirou uma selfie juntos na sala de aula,Está ocorrendo uma sessão de fotos em grupo na sala de aula.,1,Entailment,OK,N
114,Uma menina está entusiasmada tocando sua flauta,A menina está tocando uma música clássica em sua flauta,2,Neutral,OK,N
115,O bolo de chocolate está assando no forno,Há uma torta de maçã na bancada da cozinha,2,Neutral,OK,N
116,"Uma caixa contém nove vidrinhos de tratamento coloridos, com dois trevos posicionados à esquerda",A caixa guarda vidrinhos de tratamento coloridos e dois trevos,1,Entailment,OK,N
117,O céu está nublado,As árvores estão balançando com o vento,2,Neutral,OK,N
118,O seminário discute maneiras de combater as fake news,O seminário é na área de comunicação,2,Neutral,OK,N
119,Um guerreiro está polindo sua espada,O guerreiro está polindo sua armadura,2,Disagreement,OK,S
120,A consulta pública está sendo realizada para a incorporação do medicamento para pacientes graves,Há uma discussão em andamento sobre a inclusão de um novo medicamento para pacientes gravemente doentes,1,Entailment,OK,N
121,A mulher está andando na chuva com seu guarda-chuva preto,A mulher está caminhando sob o sol com seu guarda-chuva preto,0,Contradiction,OK,N
122,Um garotinho está descendo de um balanço de madeira,O menino está em um parquinho,1,Entailment,OK,N
123,A projeção de cinco conceitos artísticos prevê como será o mundo após a pandemia,Os cinco conceitos artísticos são criados por renomados artistas contemporâneos.,2,Neutral,OK,N
124,Uma mulher está caminhando com um guarda-chuva na chuva,Uma pessoa está se protegendo da chuva com um guarda-chuva.,1,Entailment,OK,N
125,"Avistamos uma oca, casa tipicamente indígena",Não existe nenhuma casa visível no local,0,Contradiction,OK,N
126,Um quadro está sendo fixado na parede por uma mulher,A mulher está usando um martelo para fixar o quadro,2,Neutral,OK,N
127,Uma criança está brincando ao sol em uma tarde de primavera,A criança está brincando dentro de casa em uma tarde de primavera,0,Contradiction,OK,N
128,A tigela contém mamão e bananas e está parcialmente coberta por um pano de cera de abelha com estampa de melancia,A tigela está vazia.,0,Contradiction,OK,N
129,O goleiro está segurando a bola ao lado da baliza,O goleiro está vestindo um uniforme verde.,2,Neutral,OK,N
130,A mulher está usando um chapéu enquanto trabalha.,Uma mulher em atividade laboral está com um chapéu.,1,Entailment,OK,N
131,Manequim está simulando o uso de um notebook,Um manequim está em uma pose que simula o uso de um computador portátil.,1,Entailment,OK,N
132,Uma mulher está dirigindo um carro,Uma mulher está no comando de um veículo,1,Entailment,OK,N
133,Um garoto sem camiseta está construindo um castelo de areia.,O garoto está de camiseta enquanto constrói um castelo de areia,0,Contradiction,OK,N
134,O rapaz está usando um moletom canguru,O rapaz está vestindo um terno,0,Contradiction,OK,N
135,O professor trouxe o livro mencionado no texto,O livro referido no texto está com o professor,1,Entailment,OK,N
136,Uma cliente do salão exibe seu penteado e cabelo de perfil,O cabelo da cliente do salão está desarrumado.,0,Contradiction,OK,N
137,O presidente está reunido com seus auxiliares,O presidente está sozinho.,0,Contradiction,OK,N
138,"A confeitaria da esquina oferece uma variedade de bolos, tortas e doces personalizados",A torta na confeitaria da esquina pode ser personalizada,1,Entailment,OK,N
139,Uma mulher está aterrorizada,A mulher está completamente calma,0,Contradiction,OK,N
140,Um gato preto repousa em meio às flores desabrochadas,O gato preto tem olhos verdes,2,Neutral,OK,N
141,"Dois jogadores e o goleiro estão em uma cena de gol, com uma arquibancada cheia de torcedores ao fundo",O goleiro está usando luvas verdes.,2,Neutral,OK,N
142,Um jovem está correndo perto de pássaros com prédios ao fundo,O jovem está parado.,0,Contradiction,OK,N
143,Ninguém está cortando uma cebola,Alguém está cortando uma cebola,0,Contradiction,OK,N
144,Um casal está selecionando um snack na máquina de venda rápida do cinema,Um homem e uma mulher estão escolhendo um lanche na máquina de vendas automática do cinema,1,Entailment,OK,N
145,O leopardo está perseguindo ferozmente sua vítima,O leopardo está dormindo tranquilamente,0,Contradiction,OK,N
146,Três potes de geléia de abóbora com noz sem adição de açúcar estão dispostos em formato de pirâmide sobre uma mesa de madeira,A mesa de madeira está posicionada na cozinha,2,Neutral,OK,N
147,A bicicleta está subindo a montanha em um ritmo lento.,A bicicleta está avançando lentamente montanha acima.,1,Entailment,OK,N
148,Um refratário contendo arroz com passas e fatias de laranja está disposto em uma mesa decorada com temas natalinos,Há um peru assado na mesa.,2,Neutral,OK,N
149,Dois homens estão cantando entusiasmados,Dois homens estão cantando no palco de um show de talentos,2,Neutral,OK,N
150,Os alunos adoraram a oficina de teatro,A oficina de teatro foi conduzida por um ator famoso.,2,Neutral,OK,N
151,Uma planta totalmente podada está começando a brotar lindos botões de flores em seu caule,Há botões de flores brotando no caule de uma planta que foi recentemente podada,1,Entailment,OK,N
152,O garoto está aplicando gel em seu cabelo,O garoto está se preparando para sair,2,Neutral,OK,N
153,Cinco jogadores compartilham o campo com uma multidão apaixonada na arquibancada,Os jogadores estão em um campo com uma plateia entusiasmada assistindo,1,Entailment,OK,N
154,Um homem e um gato estão sentados ao lado de um tronco de árvore caído,Existe um homem e um gato ao lado de um tronco de árvore caído.,1,Entailment,OK,N
155,Um refratário contendo arroz com passas e fatias de laranja está disposto em uma mesa decorada com temas natalinos,O refratário não contém arroz com passas nem fatias de laranja.,0,Contradiction,OK,N
156,Estou executando a postura de ioga pendurada na parede,Estou sentada em uma cadeira.,0,Contradiction,OK,N
157,O garçom serve vários copos de cerveja aos amigos em uma mesa,Um dos amigos está celebrando seu aniversário.,2,Neutral,OK,N
158,Uma mulher está regando as plantas,As plantas estão sendo regadas,1,Entailment,OK,N
159,A pessoa com miopia alta e olhos verdes está no meio de um jardim verde,A pessoa com olhos verdes está usando óculos azuis.,2,Neutral,OK,N
160,Três amigos estão caminhando exaustos pelo deserto escaldante enquanto o sol está se elevando,O sol está nascendo no deserto.,1,Entailment,OK,N
161,O palestrante disse que curtir a trajetória é mais do que o resultado final,O palestrante afirmou que o resultado final é mais importante do que a jornada,0,Contradiction,OK,N
162,Uma mulher está correndo em um parque,A mulher está usando um tênis verde enquanto corre,2,Neutral,OK,N
163,Uma mulher está desenhando um retrato em um caderno,A mulher planeja ir a uma exposição de arte.,2,Neutral,OK,N
164,Um gato rajado está olhando para o passarinho pousado sobre o muro da divisa,O gato rajado não está olhando para nenhum pássaro,0,Contradiction,OK,N
165,A mulher está em silêncio,Uma pessoa do gênero feminino não está falando,1,Entailment,OK,N
166,Alunos de várias idades estão participando de formaturas,Alguns estudantes estão vestindo togas e capelos azuis para a formatura.,2,Neutral,OK,N
167,Nenhum gato está brincando com novelo de lã.,Tem um gato brincando com um novelo de lã.,0,Contradiction,OK,N
168,Crianças praticam poses de ballet juntas em uma aula de dança,Meninos e meninas estão praticando poses de ballet em uma aula de dança,1,Entailment,OK,N
169,Uma mulher está despejando grãos de café em um moedor manual,Uma mulher está manuseando grãos de café,1,Entailment,OK,N
170,Uma mulher sorridente veste uma blusa rosa,Uma mulher está usando uma blusa rosa e está sorrindo,1,Entailment,OK,N
171,Uma embalagem plástica transparente contém adoçante dietético,A embalagem está vazia.,0,Contradiction,OK,N
172,A praça está deserta à noite.,Não há ninguém na praça durante a noite.,1,Entailment,OK,N
173,Três jovens em camisetas amarelas entregam livros a uma mulher,Há três jovens entregando livros.,1,Entailment,OK,N
174,"Vários relógios redondos, de ponteiro, coloridos estão presentes",Alguns relógios têm números romanos,2,Neutral,OK,N
175,A família organizou suas fotos na parede em forma de árvore de Natal,As fotos foram dispostas na parede pela família,1,Entailment,OK,N
176,A pessoa está participando de um bloco de carnaval,A pessoa está celebrando o carnaval.,1,Entailment,OK,N
177,Um estudo indica que longos dias de trabalho podem levar a uma sobrecarga no coração,Muitas pessoas trabalham mais de oito horas por dia.,2,Neutral,OK,N
178,Espumas do mar são visíveis com o reflexo do céu na areia molhada,As espumas do mar estão refletindo a luz do céu na areia úmida,1,Entailment,OK,N
179,Uma mulher está caminhando com seu cachorro na praça,Há uma mulher passeando com seu cachorro em um espaço público,1,Entailment,OK,N
180,A pessoa está no interior do bondinho,A pessoa está lendo um livro.,2,Neutral,OK,N
181,Um gato preto está pulando na grama,O gato de cor preta está em movimento na grama,1,Entailment,OK,N
182,Uma médica está mostrando informações em um tablet para seu paciente,A médica gosta de usar tecnologia no seu trabalho.,2,Neutral,OK,N
183,O homem está preparando verduras.,O homem está trabalhando com verduras.,1,Entailment,OK,N
184,Uma pessoa está manipulando as placas de um computador,Uma pessoa está desenhando num papel,2,Neutral,OK,N
185,Os lutadores de boxe estão se desafiando,Os lutadores de boxe estão competindo entre si,1,Entailment,OK,N
186,A inclusão de descrições em imagens é uma prática de acessibilidade nas redes sociais,As descrições em imagens não são praticadas nas redes sociais para promover acessibilidade,0,Contradiction,OK,N
187,Senadores e médicos discutem ações e políticas para prevenção do câncer colorretal em uma audiência pública,Médicos e senadores evitam falar sobre o câncer colorretal em uma audiência pública.,0,Contradiction,OK,N
188,Um indivíduo não está realizando uma manobra em uma prancha de skate,O indivíduo está fazendo uma manobra em sua prancha de skate.,0,Contradiction,OK,N
189,Um estudo revela que jovens homossexuais têm cinco vezes mais probabilidade de cometer suicídio do que jovens heterossexuais,A depressão é comum entre os jovens.,2,Neutral,OK,N
190,Um homem não está cortando uma cebola,Um homem está cozinhando na cozinha.,2,Neutral,OK,N
191,Atletas estão posando atrás da placa de publicidade da secretaria de esportes,Atletas estão atrás da placa de publicidade da secretaria de esportes,1,Entailment,OK,N
192,Um homem apaixonado por skate está deslizando pela rampa,Um homem que gosta de skate está manobrando sua prancha em uma rampa,1,Entailment,OK,N
193,A bandeira brasileira está tremulando ao vento,A bandeira brasileira está parada,0,Contradiction,OK,N
194,A garrafa de vidro está cheia de água mineral,A garrafa de vidro está sobre a mesa da cozinha,2,Neutral,OK,N
195,Um homem de máscara está com folhas e uma caneta,O homem mascarado está segurando uma pasta de documentos,2,Neutral,OK,N
196,A pessoa está pedindo para ser um instrumento de paz para um poder superior,A pessoa está pedindo um aumento salarial,0,Contradiction,OK,N
197,A fachada da farmácia foi atingida por um princípio de incêndio,A fachada da farmácia não foi afetada por nenhum incidente de incêndio,0,Contradiction,OK,N
198,Um gatinho está deitado no chão frio,O gatinho está deitado em uma cama quente,0,Contradiction,OK,N
199,Alguém está consertando a bicicleta de seu filho enquanto está sentado no chão,Alguém está fazendo um lanche enquanto está sentado no chão.,2,Neutral,OK,N
200,"O homem de máscara azul está apoiado em um muro de pedras, tocando uma harmônica","O homem sem máscara está sentado no chão, tocando uma guitarra",0,Contradiction,OK,N
201,Nenhuma das mulheres está segurando um telescópio.,Uma mulher está segurando um telescópio.,0,Contradiction,OK,N
202,Um bando de jovens está observando um mural vibrante,Há jovens apreciando arte,1,Entailment,OK,N
203,Os pássaros estão voando sobre o telhado de ardósia,Não tem nenhum pássaro voando sobre o telhado.,0,Contradiction,OK,N
204,Algumas pessoas estão usando tênis de corrida enquanto participam de uma maratona.,Ninguém está usando tênis de corrida na maratona.,0,Contradiction,OK,N
205,"Durante o espetáculo, o chão estava repleto de pétalas de rosas",O chão estava limpo durante o espetáculo.,0,Contradiction,OK,N
206,Uma gata cinza está escalando de uma janela para um telhado,Uma gata branca está escalando de uma janela para um telhado.,2,Neutral,OK,N
207,Um bolo vulcão de brownie é coberto com brigadeiro branco e granulado belga,O bolo vulcão de brownie tem cobertura de brigadeiro branco,1,Entailment,OK,N
208,Um sanduíche sabor frango está sobre a mesa do restaurante,O sanduíche é o prato favorito de muitas pessoas.,2,Neutral,OK,N
209,Não há um bando de gatos de competição usando coletes coloridos e saltando pelos obstáculos,Os gatos de competição são treinados para saltar obstáculos.,2,Neutral,OK,N
210,O religioso aconselha a não ignorar ou ser indiferente ao sofrimento alheio,O religioso gosta de tocar piano nas horas vagas.,2,Neutral,OK,N
211,Um estudo revela que o tempo passado com avós pode aumentar sua longevidade,O estudo revela que passar o tempo com pessoas idosas pode melhorar o bem-estar emocional.,2,Neutral,OK,N
212,Um menino brinca de amarelinha ao entardecer,O menino está brincando de amarelinha ao nascer do sol,0,Contradiction,OK,N
213,"Uma cesta decorada está cheia de várias delícias, incluindo biscoitos, gotas de chocolate e bombons",A cesta decorada é um presente de aniversário.,2,Neutral,OK,N
214,Uma onça-pintada sentada no meio da mata olha para frente com a boca aberta,Uma onça-pintada está correndo pela mata fechada,2,Neutral,OK,N
215,O cantor e o escritor estão no palco,O escritor está no palco,1,Entailment,OK,N
216,Os jovens estão praticando futebol,Os jovens estão nadando na piscina.,0,Contradiction,OK,N
217,Uma pessoa está realizando uma prova,Uma pessoa está assistindo televisão,0,Contradiction,OK,N
218,"Pessoas caminham enfileiradas por entre escombros, com muita fumaça",Existe uma linha de pessoas andando entre escombros fumegantes.,1,Entailment,OK,N
219,A mulher não está salgando as batatas,A mulher está salgando as batatas.,0,Contradiction,OK,N
220,Um estudo sugere que indivíduos de menor estatura tendem a ter uma maior longevidade,Homens mais altos estão mais propensos a serem jogadores de basquete,2,Neutral,OK,N
221,Uma pantera está rondando a área,Há um coelho na área.,2,Neutral,OK,N
222,O gato malhado está pulando em um jardim florido,O gato malhado está dormindo em um jardim sem flores,0,Contradiction,OK,N
223,O arranha-céu revestido por um arco-íris de matizes está vazio sem ninguém por perto,O arranha-céu tem vista para o rio,2,Neutral,OK,N
224,Dois indivíduos repousam com malas cheias e mantas aconchegantes,Dois indivíduos estão descansando com suas malas cheias e enrolados em mantas confortáveis,1,Entailment,OK,N
225,"Ele tira uma selfie enquanto trabalha, exibindo um leve sorriso e um olhar sereno",Ele está sorrindo enquanto tira uma selfie em um café,2,Neutral,OK,N
226,Uma flor e um baseado estão dispostos sobre uma base escura,A flor e o baseado estão localizados em um fundo escuro,1,Entailment,OK,N
227,Um cão labrador amarelo está se espreguiçando no chão,Um cão labrador amarelo está correndo pelo campo,0,Contradiction,OK,N
